syoung	Project2	View1	human	hg19	chr1		0	115		completed	2011-06-26 18:31:03
syoung	Project2	View2					0	0		completed	2011-06-25 14:42:12
syoung	ProjectX	View1	human	hg19	chr1	Encode,CpG,vegaGene	1200000	11200000	Notes for View1	completed	2010-06-15 18:59:15
syoung	ProjectX	View3	human	hg19	chr1	Encode,CpG,vegaGene,polyA	1	12270000	Notes for View2	completed	2010-06-15 18:59:15
jgilbert	Project2	View1	human	hg19	chr1	Encode,CpG,vegaGene	1	12270000	Notes for View1	completed	2010-06-15 18:59:15
jgilbert	Project2	View2	mouse	mm9	chr1	Encode,CpG,vegaGene,polyA	1270000	12270000	Notes for View3	completed	2010-06-15 18:59:15
jgilbert	Project3	View1	human	hg19	chr1	Encode,CpG,vegaGene	1200000	11200000	Notes for View1	completed	2010-06-15 18:59:15
jgilbert	Project3	View3	human	hg19	chr1	Encode,CpG,vegaGene,polyA	1	12270000	Notes for View2	completed	2010-06-15 18:59:15
syoung	Project2	View3	human	hg19	chr22	control1,control2	937525	14767451		completed	2011-06-26 19:53:11
syoung	Project1	View6	human	hg19	chr1	ntHumChimp	57178	36101796		completed	2011-07-18 02:09:59
syoung	Project1	View8	human	hg19	chr1	vegaGene,Vega Protein Genes	3746	19941104		completed	2011-07-18 02:10:47
syoung	Project1	View3	human	hg19	chr22	control1,control2	936113	14766039		completed	2011-07-18 01:56:23
syoung	Project1	View7	human	hg19	chr1	UCSC Genes	49461300	51481626		completed	2011-07-18 02:10:11
admin	Project1	View1	human	hg19	chr3	OMIM Genes,IKMC Genes Mapped	79208972	118813458		completed	2011-07-07 01:48:46
admin	Project1	View2	human	hg19	chr1	UCSC Genes,H-Inv non-coding,tRNA Genes	17180000	36700000		completed	2011-07-07 02:04:16
admin	Project1	View3	human	hg19	chr1		13957	19939274		completed	2011-07-07 02:00:52
syoung	Project2	View6	human	hg19	chr1	ntHumChimp	58250	36578101		completed	2011-06-26 19:31:11
syoung	Project2	View7	human	hg19	chr1	UCSC Genes	49461307	51481633		completed	2011-06-26 19:32:21
syoung	Project2	View8	human	hg19	chr1	vegaGene,Vega Protein Genes	13012	19950370		completed	2011-06-26 19:32:39
syoung	rnaSeq	View3	human	hg19	chr22	control1,control2	937525	14767451		completed	2011-06-26 19:53:11
syoung	rnaSeq	View6	human	hg19	chr1	ntHumChimp	58250	36578101		completed	2011-06-26 19:31:11
syoung	rnaSeq	View7	human	hg19	chr1	UCSC Genes	49461307	51481633		completed	2011-06-26 19:32:21
syoung	rnaSeq	View8	human	hg19	chr1	vegaGene,Vega Protein Genes	13012	19950370		completed	2011-06-26 19:32:39
syoung	snp454	View3	human	hg19	chr22	control1,control2	937525	14767451		completed	2011-06-26 19:53:11
syoung	snp454	View6	human	hg19	chr1	ntHumChimp	58250	36578101		completed	2011-06-26 19:31:11
syoung	snp454	View7	human	hg19	chr1	UCSC Genes	49461307	51481633		completed	2011-06-26 19:32:21
syoung	snp454	View8	human	hg19	chr1	vegaGene,Vega Protein Genes	13012	19950370		completed	2011-06-26 19:32:39
