admin	clusterMAQ	pipeline	inputfile	0	0	input	inputfile	file	--inputfile		essential					
admin	clusterMAQ	pipeline	outputdir	0	0	input	outputdir	directory	--outputdir	%project%/%workflow%	essential	dir	Absolute path to directory containing reference_sequences.2bpb, .idx and .vld files	inputs.acefile.value	acefile	var outputdir = acefile
admin	clusterMAQ	pipeline	referencefile	0	0	input	referencefile	file	--referencefile		required					
admin	clusterMAQ	pipeline	sortedfile	0	0	output	sortedfile	file		%project%/%workflow%/s_1_1_sorted.txt	required					
admin	deepvac.pl	utility	downloaddir	0	0	input	downloaddir	directory	--downloaddir	%project%/%workflow%/download	required		Files are downloaded to this directory			
admin	deepvac.pl	utility	filter	0	0	input	filter	string	--filter		optional		Download only filenames containing this name fragment			
admin	deepvac.pl	utility	regex	0	0	input	regex	string	--regex		optional		Download only filenames matching this regex			
admin	deepvac.pl	utility	url	0	0	input	url	string	--url		required		URL of FTP site or link to file on web page			
admin	deepvac.pl	utility	type	0	0	input	type	string	--type		required		Type of page: 'html' or 'text'			
admin	elandHeader	converter	inputfile	0	0	input	readfile 	file	--inputfile	%project%/%workflow%/sequence.txt	essential		FASTQ file not in ELAND format (for use with ELAND_standalone.pl)	output.outputfile.value		
admin	ELAND	alignment	inputtype	0	0	input	inputtype	string	--inputtype	fastq	required		Type of input sequence. Valid inputs: fastq, fasta, export or qseq			
admin	ELAND	alignment	outputdir	0	0	input	outputdir	directory	--outputdir	%project%/%workflow%	required		Print ELAND alignment files to this directory (will create the directory if it does not exist)			
admin	ELAND	aligner	matefile	0	0	input	matefile	file	--matefile		optional	fastq	Paired-end mate file complementary to inputfile (e.g., s_1_2_sequence.fastq)	output.matefile.value,input.matefile.value	input1,input2	
admin	ELAND	aligner	hits	1	0	output	hits	files			optional		Chromosome-specific *bam files containing aligned reads	input.outputdir.value	outputdir	return outputdir + "/chr*/hit.bam";
admin	ELAND	alignment	pairparams	0	0	input	pairparams	string	--pairparams		optional		Paired read analysis parameters to pass to pickBestPair. Default: '--circular' (treats all chromosomes as circular).			
admin	ELAND	alignment	quality	0	0	input	quality	integer	--quality		optional		Quality value of all bases in fasta mode (Default: 30)			
admin	ELAND	aligner	reads	0	0	input	reads	integer	--reads	1000000	optional		Number of reads per sub-file			
admin	ELAND	aligner	referencedir	0	0	input	referencedir	directory	--referencedir	%project%/%workflow%	essential		Directory containing squashed reference genome files			
admin	ELAND	alignment	seedlength	0	0	input	seedlength	integer	--seedlength		optional		Length of read used for ELAND alignment (Default: min. of seedlength and 32)			
admin	ELAND	alignment	splitfile	0	0	input	splitfile	file	--splitfile		optional					
admin	eland2ace.pl	converter	inputfile	0	0	input	inputfile	file	--inputfile		required	ace		output.sortedfile.value		
admin	eland2ace.pl	converter	outputdir	0	0	input	outputdir	directory	--outputdir	%project%/%workflow%/dummy	required	dir		input.outputdir.value		
admin	eland2ace.pl	converter	outputfile	0	0	output	outputfile	file			Discretion	ace		input.inputfile.value	inputfile	return inputfile.replace(/.txt/, '.ace')
admin	filterSNP	report	species	0	0	input	species	string	--species		required					
admin	filterSNP	report	sense	0	0	input	sense	string	--sense		optional					
admin	filterSNP	report	quality	0	0	input	quality	integer	--quality		optional					
admin	filterSNP	report	outputdir	0	0	output	outputdir	directory	--outputdir	%project%/%workflow%	required		Directory with one subdirectory per reference chromosome, each containing an out.sav.flt filterSNP output file	input.inputdir.value		
admin	filterSNP	report	inputdir	0	0	input	inputdir	directory	--inputdir	%project%/%workflow%	essential		Directory with one subdirectory per reference chromosome, each containing an out.sav extended pileup format file of predicted SNPs and annotation information	output.outputdir.value		
admin	filterSNP	report	coverage	0	0	input	coverage	integer	--coverage		optional					
admin	filterSNP	report	filename	0	0	input	filename	file	--filename		optional					
admin	filterSNP	report	chromosome	0	0	input	chromosome	string	--chromosome		optional					
admin	FTP	utility	url	0	0	input	url	string	--url		required		Download files linked on this page			
admin	FTP	utility	type	0	0	input	type	string	--type		essential		Type of page: html or text			
admin	FTP	utility	filter	0	0	input	filter	string	--filter		optional		Download only files containing this text fragment			
admin	FTP	utility	regex	0	0	input	regex	string	--regex	\	chr[XYM0-9]+\\.fa\\.gz	optional		Download files matching this regular expression			
admin	FTP	utility	outputdir	0	0	input	outputdir	directory	--outputdir	%project%/%workflow%/downloads	required		Create this directory and download files to it			
